,date,round,region,winning_seed,winner,winning_score,losing_seed,loser,losing_score,overtime
17,1985-03-15,Round of 64,East,3,Illinois,76,14,Northeastern,57,
41,1985-03-17,Round of 32,East,3,Illinois,74,6,Georgia,58,
88,1986-03-14,Round of 64,Southeast,4,Illinois,75,13,Fairfield,51,
214,1988-03-18,Round of 64,Southeast,3,Illinois,81,14,Texas-San Antonio,72,
256,1989-03-16,Round of 64,Midwest,1,Illinois,77,16,McNeese State,71,
286,1989-03-18,Round of 32,Midwest,1,Illinois,72,9,Ball State,60,
306,1989-03-24,Sweet Sixteen,Midwest,1,Illinois,83,4,Louisville,69,
311,1989-03-26,Elite Eight,Midwest,1,Illinois,89,2,Syracuse,86,
517,1993-03-18,Round of 64,West,6,Illinois,75,11,Long Beach State,72,
781,1997-03-14,Round of 64,Southeast,6,Illinois,90,11,Southern California,77,
831,1998-03-12,Round of 64,West,5,Illinois,64,12,South Alabama,51,
964,2000-03-17,Round of 64,East,4,Illinois,68,13,Pennsylvania,58,
1025,2001-03-16,Round of 64,Midwest,1,Illinois,96,16,Northwestern State,54,
1049,2001-03-18,Round of 32,Midwest,1,Illinois,79,9,Charlotte,61,
1061,2001-03-23,Sweet Sixteen,Midwest,1,Illinois,80,4,Kansas,64,
1096,2002-03-15,Round of 64,Midwest,4,Illinois,93,13,San Diego State,64,
1116,2002-03-17,Round of 32,Midwest,4,Illinois,72,12,Creighton,60,
1148,2003-03-20,Round of 64,West,4,Illinois,65,13,Western Kentucky,60,
1229,2004-03-19,Round of 64,South,5,Illinois,72,12,Murray State,53,
1246,2004-03-21,Round of 32,South,5,Illinois,92,4,Cincinnati,68,
1265,2005-03-17,Round of 64,Midwest,1,Illinois,67,16,Fairleigh Dickinson,55,
1297,2005-03-19,Round of 32,Midwest,1,Illinois,71,9,Nevada,59,
1313,2005-03-24,Sweet Sixteen,Midwest,1,Illinois,77,12,Milwaukee,63,
1321,2005-03-26,Elite Eight,Midwest,1,Illinois,90,3,Arizona,89,1 OT
1326,2005-04-02,National Semifinals,National Semifinals,1,Illinois,72,4,Louisville,57,
1330,2006-03-16,Round of 64,East,4,Illinois,78,13,Air Force,69,
1677,2011-03-18,Round of 64,Southwest,9,Illinois,73,8,Nevada-Las Vegas,62,
1804,2013-03-22,Round of 64,East,7,Illinois,57,10,Colorado,49,
